,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,category,wnsynset,wnsynsetkey,up,front,aligned.minPoint,aligned.maxPoint,aligned.dims,isCornerPiece
429,541,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_4,n03380724,footstool.n.01,,,-20.0/0.0/-21.0,20.0/41.374/21.0,40.0/41.374/42.0,
430,542,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_4,n03063968,coffee_table.n.01,,,-39.5/0.0/-39.5,39.5/29.0/39.5,79.0/29.0/79.0,
431,543,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_4,n03063968,coffee_table.n.01,,,-40.5/0.0/-40.5,40.5/41.0/40.5,81.0/41.0/81.0,
432,544,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_4,n03380724,footstool.n.01,,,-19.0/0.0/-19.0,19.0/38.2187/19.0,38.0/38.2187/38.0,
433,545,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_2,n03380724,footstool.n.01,,,-58.499996/0.0/-30.000002,58.499996/32.0/30.000002,116.99999/32.0/60.000004,
434,546,coffee_table,table,2.0,table,table/coffee_table/__SYM_REFLECT_FB,n03063968,coffee_table.n.01,,,-25.0/0.010299683/-25.0,25.0/55.0/25.0,50.0/54.9897/50.0,
435,547,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_4,n03380724,footstool.n.01,,,-20.0/0.0/-20.0,20.0/40.0/20.0,40.0/40.0/40.0,
436,548,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_4,n03380724,footstool.n.01,,,-19.9892/0.0/-19.9892,19.9892/44.4133/19.9892,39.9784/44.4133/39.9784,
437,549,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-49.4402/0.0/-29.4644,49.4403/45.0/29.4644,98.8805/45.0/58.9288,
438,550,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-49.2139/0.0/-29.3295,49.2139/45.100002/29.3295,98.4278/45.100002/58.659,
439,551,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-50.5/0.0/-29.0,50.5/56.0/29.0,101.0/56.0/58.0,
440,552,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_4,n03063968,coffee_table.n.01,,,-35.0/0.024051666/-35.0,35.0/54.949997/35.0,70.0/54.925945/70.0,
441,553,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_2,n03380724,footstool.n.01,,,-50.0/0.0/-22.9806,50.0/43.981503/22.9806,100.0/43.981503/45.9612,
442,554,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_4,n03380724,footstool.n.01,,,-19.9999/0.1515007/-19.9999,19.9999/44.039898/19.9999,39.9998/43.888397/39.9998,
443,555,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_4,n03063968,coffee_table.n.01,,,-40.0/-1.9073486E-6/-40.0,40.0/30.000002/40.0,80.0/30.000004/80.0,
444,556,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-55.0/0.0/-30.000002,55.0/45.0/30.000002,110.0/45.0/60.000004,
445,557,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_2,n03380724,footstool.n.01,,,-35.0/0.0/-27.000002,35.0/67.048004/27.000002,70.0/67.048004/54.000004,
446,558,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_2,n03380724,footstool.n.01,,,-54.5/0.0/-31.0,54.5/44.0/31.0,109.0/44.0/62.0,
447,559,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_4,n03380724,footstool.n.01,,,-47.982697/-3.8146973E-6/-48.9685,47.987/49.8699/48.9887,95.969696/49.869904/97.9572,
448,560,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_2,n03380724,footstool.n.01,,,-31.1146/0.0/-19.152802,31.1146/41.0/19.152802,62.2292/41.0/38.305603,
449,561,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-29.9971/0.0027046204/-20.003,29.9971/28.0/20.003,59.9942/27.997295/40.006,
450,562,pool,pool,2.0,otherprop,pool/__SYM_REFLECT_LR,n03982060,pool.n.01,,,-250.0/-0.07852173/-143.036,250.0/172.0/143.036,500.0/172.07852/286.072,
451,563,coffee_table,table,2.0,table,table/coffee_table/__SYM_REFLECT_FB,n03063968,coffee_table.n.01,,,-50.0039/0.0061569214/-20.010399,50.0039/52.999996/20.010399,100.0078/52.99384/40.020798,
452,564,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-47.4941/0.0/-20.0022,47.4941/62.0/20.0022,94.9882/62.0/40.0044,
453,565,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-51.0/0.0/-24.5,51.0/52.0/24.5,102.0/52.0/49.0,
454,566,coffee_table,table,2.0,table,table/coffee_table/__SYM_REFLECT_FB,n03063968,coffee_table.n.01,,,-30.000002/0.0/-30.000002,30.000002/50.0/30.000002,60.000004/50.0/60.000004,
455,567,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-55.0/1.0/-30.000002,55.0/40.0/30.000002,110.0/39.0/60.000004,
456,568,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-55.0/0.0/-30.000002,55.0/44.0/30.000002,110.0/44.0/60.000004,
457,569,coffee_table,table,2.0,table,table/coffee_table/__SYM_REFLECT_LR,n03063968,coffee_table.n.01,,,-37.5/0.0/-27.499199,37.5/45.0/27.499199,75.0/45.0/54.998398,
458,57,sofa,sofa,2.0,sofa,sofa/__SYM_REFLECT_LR,n04256520,sofa.n.01,,,-82.5072/0.0/-50.2079,82.5072/91.3217/46.776802,165.0144/91.3217/96.9847,
459,570,tv_stand,tv_stand,2.0,cabinet,tv_stand,n03290653,entertainment_center.n.01,,,-78.0/0.014816284/-22.000603,78.0/147.0/21.999199,156.0/146.98518/43.9998,
460,577,tv_stand,tv_stand,2.0,cabinet,tv_stand,n03290653,entertainment_center.n.01,,,-75.5005/0.0/-21.5806,75.50169/160.006/21.4948,151.0022/160.006/43.0754,
461,579,coffee_table,table,2.0,table,table/coffee_table/__SYM_REFLECT_LR,n03063968,coffee_table.n.01,,,-30.000002/0.0/-28.172401,30.000002/81.0/30.0,60.000004/81.0/58.1724,
462,580,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2_APPROX,n03063968,coffee_table.n.01,,,-60.000004/3.8146973E-6/-35.0,60.000004/38.0/35.0,120.00001/37.999996/70.0,
463,586,coffee_table,table,2.0,table,table/coffee_table,n03063968,coffee_table.n.01,,,-63.5/0.0/-60.000004,63.5/35.0/60.000004,127.0/35.0/120.00001,
464,587,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-39.984398/0.0/-19.931599,39.984398/49.992/20.021198,79.968796/49.992/39.952797,
465,589,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_4,n03063968,coffee_table.n.01,,,-45.0/0.0/-45.0,45.0/33.0/45.0,90.0/33.0/90.0,
466,590,tv_stand,tv_stand,2.0,cabinet,tv_stand,n03290653,entertainment_center.n.01,,,-92.0/3.0/-24.350403,92.0/149.029/24.5009,184.0/146.029/48.851303,
467,591,coffee_table,table,2.0,table,table/coffee_table,n03063968,coffee_table.n.01,,,-45.0/-5.722046E-5/-30.000002,45.0/40.0002/30.000002,90.0/40.000256/60.000004,
468,592,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-55.0/0.0/-30.5,55.0/36.0/30.5,110.0/36.0/61.0,
469,593,range_oven_with_hood,kitchen_cabinet,2.0,counter,kitchen_cabinet/range_oven_with_hood/__SYM_REFLECT_LR_APPROX,n04330340,stove.n.01,,,-30.000002/0.0/-31.0,30.0002/218.0/31.0,60.000202/218.0/62.0,
470,594,kitchen_sink_with_hanging_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_sink_with_hanging_kitchen_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-45.0/0.0/-31.0,45.0/218.0/31.0,90.0/218.0/62.0,
471,595,kitchen_sink_with_hanging_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_sink_with_hanging_kitchen_cabinet,n02933112,cabinet.n.01,,,-30.000002/0.0/-31.0,30.000002/218.0/31.0,60.000004/218.0/62.0,
472,596,tall_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/tall_kitchen_cabinet,n02933112,cabinet.n.01,,,-22.5/0.0/-31.0,22.5/146.0/31.0,45.0/146.0/62.0,
473,597,tall_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/tall_kitchen_cabinet,n02933112,cabinet.n.01,,,-22.5/0.0/-31.0,22.5/146.0/31.0,45.0/146.0/62.0,
474,598,short_kitchen_cabinet_with_hanging_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet_with_hanging_kitchen_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-22.5/0.0/-31.0,22.5/218.0/31.0,45.0/218.0/62.0,
475,599,short_kitchen_cabinet_with_hanging_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet_with_hanging_kitchen_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-45.0/0.0/-31.0,45.0/218.0/31.0,90.0/218.0/62.0,
476,60,bathtub,bathtub,2.0,bathtub,bathtub/__SYM_REFLECT_LR,n02808440,bathtub.n.01,,,-89.5072/0.0/-52.607002,89.5072/77.2575/56.8404,179.0144/77.2575/109.4474,
477,600,short_kitchen_cabinet_with_hanging_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet_with_hanging_kitchen_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-45.0/0.0/-31.0,45.0/218.0/31.0,90.0/218.0/62.0,
478,601,short_kitchen_cabinet_with_hanging_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet_with_hanging_kitchen_cabinet,n02933112,cabinet.n.01,,,-22.5/0.0/-31.0,22.5/218.0/31.0,45.0/218.0/62.0,
479,602,short_kitchen_cabinet_with_hanging_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet_with_hanging_kitchen_cabinet/__CORNER_C2,n02933112,cabinet.n.01,,,-52.499996/0.0/-31.0,52.499996/218.003/31.0,104.99999/218.003/62.0,
480,603,short_kitchen_cabinet_with_hanging_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet_with_hanging_kitchen_cabinet,n02933112,cabinet.n.01,,,-22.5/0.0/-31.0,22.5/218.0/31.0,45.0/218.0/62.0,
481,604,short_kitchen_cabinet_with_hanging_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet_with_hanging_kitchen_cabinet/__CORNER_C1,n02933112,cabinet.n.01,,,-52.499996/-0.041671753/-31.0,52.499996/218.003/31.0,104.99999/218.04468/62.0,
482,605,bench_chair,bench_chair,2.0,chair,bench_chair/__SYM_REFLECT_LR,n03891251,park_bench.n.01,,,-75.0/0.0/-35.0214,75.0/90.0/35.0214,150.0/90.0/70.0428,
483,606,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet,n02933112,cabinet.n.01,,,-30.000002/0.0/-19.6574,30.000002/200.0/19.6574,60.000004/200.0/39.3148,
484,607,shelving,shelving,2.0,shelves,shelving,n04190052,shelf.n.01,,,-18.5/0.0/-18.5,18.5/200.0/18.5,37.0/200.0/37.0,
485,608,tv_stand,tv_stand,2.0,cabinet,tv_stand,n03290653,entertainment_center.n.01,,,-68.0/0.0/-24.657501,68.0/45.0/24.657402,136.0/45.0/49.314903,
486,609,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet,n02933112,cabinet.n.01,,,-30.000002/0.0/-19.0,30.000002/200.0/19.0,60.000004/200.0/38.0,
487,610,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet,n02933112,cabinet.n.01,,,-30.000002/0.0/-19.0,30.000002/200.0/19.0,60.000004/200.0/38.0,
488,611,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet,n02933112,cabinet.n.01,,,-21.0/0.0/-22.0,21.0/210.99998/22.0,42.0/210.99998/44.0,
489,612,shelving,shelving,2.0,shelves,shelving,n04190052,shelf.n.01,,,-47.0/0.0/-20.0,47.0/210.99998/20.0,94.0/210.99998/40.0,
490,613,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-40.0/0.0/-31.0,40.0/210.99998/31.0,80.0/210.99998/62.0,
491,614,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet,n02933112,cabinet.n.01,,,-37.5/0.0/-22.0,37.5/190.0/22.0,75.0/190.0/44.0,
492,615,dresser,dresser,2.0,dresser,dresser/__SYM_REFLECT_LR,n03015254,chest_of_drawers.n.01,,,-68.0/0.0/-24.0,68.0/76.0/24.0,136.0/76.0/48.0,
493,616,tv_stand,tv_stand,2.0,cabinet,tv_stand/__SYM_REFLECT_LR,n03290653,entertainment_center.n.01,,,-68.0/0.0/-24.0,68.0/45.0/24.0,136.0/45.0/48.0,
494,617,tv_stand,tv_stand,2.0,cabinet,tv_stand/__SYM_REFLECT_LR,n03290653,entertainment_center.n.01,,,-75.0/0.0/-30.5,75.0/55.0/30.5,150.0/55.0/61.0,
495,618,tv_stand,tv_stand,2.0,cabinet,tv_stand/__SYM_REFLECT_LR,n03290653,entertainment_center.n.01,,,-75.0/0.0/-21.0,75.0/37.0/21.0,150.0/37.0/42.0,
496,620,plant,plant,2.0,otherprop,plant/__SYM_ROTATE_UP_INF,n00017222,plant.n.02,,,-38.5094/0.0/-50.0,38.5094/117.675995/49.9657,77.0188/117.675995/99.9657,
497,621,curtain,curtain,2.0,curtain,curtain/__SYM_REFLECT_LR,n03151077,curtain.n.01,,,-50.0/0.20145416/-5.9966507,50.0/82.0663/5.9966507,100.0/81.864845/11.993301,
498,622,curtain,curtain,2.0,curtain,curtain/__SYM_REFLECT_LR,n03151077,curtain.n.01,,,-134.5/-0.013198853/-5.99946,134.5/247.49998/5.9994793,269.0/247.51318/11.9989395,
499,623,plant,plant,2.0,otherprop,plant/__SYM_ROTATE_UP_4,n00017222,plant.n.02,,,-28.000801/0.0/-26.489899,28.14/150.0/26.489899,56.1408/150.0/52.979797,
500,624,plant,plant,2.0,otherprop,plant/__SYM_ROTATE_UP_4,n00017222,plant.n.02,,,-29.5036/0.0/-26.9781,29.5036/93.9927/26.978199,59.0072/93.9927/53.9563,
501,625,curtain,curtain,2.0,curtain,curtain/__SYM_REFLECT_LR,n03151077,curtain.n.01,,,-120.95/3.0517578E-5/-9.479391,120.95/250.0/9.47938,241.9/249.99997/18.95877,
502,626,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_6,n03005285,chandelier.n.01,,,-38.4782/0.07120514/-34.5,38.4782/70.0/34.5,76.9564/69.928795/69.0,
503,627,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_4,n03005285,chandelier.n.01,,,-23.0/0.0/-23.0,23.0/68.0/23.0,46.0/68.0/46.0,
504,628,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_2,n03005285,chandelier.n.01,,,-132.0/0.0/-20.0,132.0/89.0/20.0,264.0/89.0/40.0,
505,629,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_INF,n03005285,chandelier.n.01,,,-9.95688/0.0/-9.95688,9.95688/50.0/9.95688,19.91376/50.0/19.91376,
506,63,sofa,sofa,2.0,sofa,sofa/__CORNER_C1,n04256520,sofa.n.01,,,-100.0/0.27002716/-88.2462,100.0/93.192604/74.79991,200.0/92.92258/163.04611,
507,630,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_INF,n03005285,chandelier.n.01,,,-5.97779/0.0/-5.97779,5.97779/74.1915/5.97779,11.95558/74.1915/11.95558,
508,631,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_3,n03005285,chandelier.n.01,,,-37.9997/-1.9073486E-6/-34.9779,37.9997/28.0/34.9779,75.9994/28.000002/69.9558,
509,632,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_4,n03005285,chandelier.n.01,,,-24.0/0.025688171/-24.0,24.0/70.0/24.0,48.0/69.97431/48.0,
510,633,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_2,n03005285,chandelier.n.01,,,-38.0/0.0/-3.0,38.0/50.0/3.0,76.0/50.0/6.0,
511,634,plant,plant,2.0,otherprop,plant/__SYM_ROTATE_UP_4,n00017222,plant.n.02,,,-59.161003/0.0/-59.161003,59.582/191.872/58.964096,118.743004/191.872/118.1251,
512,635,pool,pool,2.0,otherprop,pool,n03982060,pool.n.01,,,-290.008/-7.6293945E-6/-190.008,290.008/61.9996/190.008,580.016/61.999607/380.016,
513,636,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_2,n03005285,chandelier.n.01,,,-35.0/3.8146973E-6/-13.4985,35.0/60.000004/13.4985,70.0/60.0/26.997,
514,637,plant,plant,2.0,otherprop,plant/__SYM_ROTATE_UP_INF,n00017222,plant.n.02,,,-77.5/0.0/-75.9619,77.5/197.36101/76.0381,155.0/197.36101/152.0,
515,638,small_refrigerator,kitchen_appliance,2.0,cabinet,kitchen_appliance/small_refrigerator/__SYM_REFLECT_LR,n04070727,refrigerator.n.01,,,-80.9988/0.0/-45.438,80.9988/183.0/45.562,161.9976/183.0/91.0,
516,639,small_refrigerator,kitchen_appliance,2.0,cabinet,kitchen_appliance/small_refrigerator,n04070727,refrigerator.n.01,,,-40.5/0.0/-45.438,40.5/183.005/45.562,81.0/183.005/91.0,
517,64,sofa,sofa,2.0,sofa,sofa/__SYM_REFLECT_LR,n04256520,sofa.n.01,,,-89.022896/0.0/-50.5,89.022896/82.9265/50.5,178.04579/82.9265/101.0,
518,640,small_refrigerator,kitchen_appliance,2.0,otherprop,kitchen_appliance/small_refrigerator/__SYM_REFLECT_LR,n04070727,refrigerator.n.01,,,-53.4935/0.0/-45.4995,53.4935/101.968/45.4995,106.987/101.968/90.999,
519,641,ATM,ATM,2.0,otherprop,ATM,n02977058,cash_machine.n.01,,,-45.4995/0.0/-45.4995,45.4995/122.0/45.4995,90.999/122.0/90.999,
520,645,sofa,sofa,2.0,sofa,sofa/__SYM_REFLECT_LR,n04256520,sofa.n.01,,,-120.00001/0.0/-52.999996,120.00001/90.5711/52.999996,240.00002/90.5711/105.99999,
521,646,armchair,chair,2.0,chair,chair/armchair/sofa_chair/__SYM_REFLECT_LR,n03262932,easy_chair.n.01,,,-46.0/0.0/-48.5,46.0/90.5711/48.5,92.0/90.5711/97.0,
522,647,ottoman,ottoman,2.0,otherprop,ottoman/__SYM_ROTATE_UP_4,n03380724,footstool.n.01,,,-19.9896/0.0/-19.998798,19.9896/46.2/19.998798,39.9792/46.2/39.997597,
523,648,toy,toy,2.0,otherprop,toy/__SYM_REFLECT_LR,n03964744,plaything.n.01,,,-4.5/0.15118504/-7.24819,4.5/12.7738/7.2653704,9.0/12.622615/14.51356,
524,649,chandelier,indoor_lamp,2.0,lamp,indoor_lamp/chandelier/__SYM_ROTATE_UP_2,n03005285,chandelier.n.01,,,-44.0/-0.022499084/-12.0,44.0/51.0/12.0,88.0/51.0225/24.0,
525,650,ceiling_fan,fan,2.0,otherprop,fan/ceiling_fan/__SYM_ROTATE_UP_6,n03320046,fan.n.01,,,-56.0/0.0/-49.9875,56.0/46.0109/49.9875,112.0/46.0109/99.975,
526,651,xbox,toy,2.0,otherprop,toy/xbox,n03964744,plaything.n.01,,,-18.5/0.0/-15.004702,18.500198/27.000002/14.996099,37.0002/27.000002/30.000801,
527,652,kitchen_island,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_island,n02933112,cabinet.n.01,,,-120.00001/0.0/-80.0,120.00001/270.0/80.0,240.00002/270.0/160.0,
528,653,kitchen_island,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_island,n02933112,cabinet.n.01,,,-89.997604/0.0/-79.0,89.997604/270.0/78.9881,179.99521/270.0/157.9881,
529,654,dining_table,table,2.0,table,table/dining_table/__SYM_ROTATE_UP_2,n03201208,dining_table.n.01,,,-60.000004/0.0/-38.0,60.000004/76.0/38.0,120.00001/76.0/76.0,
530,655,dining_table,table,2.0,table,table/dining_table/__SYM_ROTATE_UP_2,n03201208,dining_table.n.01,,,-87.5/-0.027580261/-45.0,87.5/74.983604/45.0,175.0/75.011185/90.0,
531,656,dining_table,table,2.0,table,table/dining_table/__SYM_ROTATE_UP_2,n03201208,dining_table.n.01,,,-70.0/0.001876831/-39.0,70.0/75.0019/39.0,140.0/75.00002/78.0,
532,657,short_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-40.0019/0.0/-32.0,40.0019/97.9966/31.999699,80.0038/97.9966/63.9997,
533,658,tall_kitchen_cabinet_with_oven,kitchen_cabinet,2.0,counter,kitchen_cabinet/tall_kitchen_cabinet_with_oven,n02933112,cabinet.n.01,,,-40.0/-0.0010986328/-22.001099,40.0/159.99901/21.998901,80.0/160.0001/44.0,
534,659,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2.0,counter,hanging_kitchen_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-40.0/-0.0010910034/-22.001099,40.0/86.9998/21.998901,80.0/87.00089/44.0,
535,660,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2.0,counter,hanging_kitchen_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-40.0/-0.0010910034/-22.001099,40.0/86.9998/21.998901,80.0/87.00089/44.0,
536,661,range_hood,kitchen_appliance,2.0,otherprop,kitchen_appliance/range_hood/__SYM_REFLECT_LR,n04053677,range_hood.n.01,,,-30.0002/-0.0010986328/-30.994003,30.0002/151.16101/31.9981,60.0004/151.16211/62.992104,
537,662,range_oven,kitchen_cabinet,2.0,counter,kitchen_cabinet/range_oven/__SYM_REFLECT_LR_APPROX,n04330340,stove.n.01,,,-30.000698/0.0/-31.993603,30.000698/97.9966/31.999699,60.001396/97.9966/63.9933,
538,663,kitchen_sink,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_sink/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-40.0019/0.0/-32.0,40.0019/98.446/31.999699,80.0038/98.446/63.9997,
539,664,dining_table,table,2.0,table,table/dining_table/__SYM_ROTATE_UP_2,n03201208,dining_table.n.01,,,-72.5/0.0/-42.5,72.5/74.8453/42.5,145.0/74.8453/85.0,
540,665,tall_kitchen_cabinet_with_oven,kitchen_cabinet,2.0,counter,kitchen_cabinet/tall_kitchen_cabinet_with_oven/__SYM_REFLECT_LR_APPROX,n02933112,cabinet.n.01,,,-30.000002/0.0/-30.523201,30.000002/146.0/30.523201,60.000004/146.0/61.046402,
541,666,tall_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/tall_kitchen_cabinet,n02933112,cabinet.n.01,,,-30.000002/0.0/-30.523201,30.000002/146.0/30.523201,60.000004/146.0/61.046402,
542,667,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2.0,counter,hanging_kitchen_cabinet,n02933112,cabinet.n.01,,,-30.000002/0.0/-16.0232,30.000002/60.000004/16.0232,60.000004/60.000004/32.0464,
543,668,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2.0,counter,hanging_kitchen_cabinet,n02933112,cabinet.n.01,,,-30.000002/0.0/-16.0232,30.000002/60.000004/16.0232,60.000004/60.000004/32.0464,
544,669,short_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet,n02933112,cabinet.n.01,,,-30.000002/0.0/-30.523201,30.000002/95.0/30.523201,60.000004/95.0/61.046402,
545,67,armchair,chair,2.0,chair,chair/armchair/sofa_chair/__SYM_REFLECT_LR,n03262932,easy_chair.n.01,,,-45.5/0.0/-47.0869,45.5/94.5857/47.0,91.0/94.5857/94.0869,
546,670,kitchen_sink,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_sink,n02933112,cabinet.n.01,,,-60.000004/0.0/-30.523197,60.000004/103.0/30.523197,120.00001/103.0/61.046394,
547,671,range_with_hood,kitchen_cabinet,2.0,counter,kitchen_cabinet/range_with_hood,n02933112,cabinet.n.01,,,-30.000002/0.0/-30.523201,30.000002/175.171/30.523201,60.000004/175.171/61.046402,
548,672,short_kitchen_cabinet,kitchen_cabinet,2.0,counter,kitchen_cabinet/short_kitchen_cabinet/__CORNER_C2,n02933112,cabinet.n.01,,,-31.5/0.0/-31.5,31.5/95.0/31.5,63.0/95.0/63.0,
549,673,kitchen_island_with_range_hood_and_table,kitchen_cabinet,2.0,counter,kitchen_cabinet/kitchen_island_with_range_hood_and_table/__CORNER_C1,n02933112,cabinet.n.01,,,-87.0/-3.0517578E-5/-113.173,87.0/270.0/113.173,174.0/270.00003/226.346,
550,674,shelving,shelving,2.0,shelves,shelving/__SYM_REFLECT_LR,n04190052,shelf.n.01,,,-68.519905/1.5258789E-5/-28.505798,68.519905/105.017/28.494202,137.03981/105.01698/57.0,
551,675,dining_table,table,2.0,table,table/dining_table/__SYM_ROTATE_UP_2,n03201208,dining_table.n.01,,,-77.0/-0.12880707/-53.4756,77.0/74.8712/53.4756,154.0/75.00001/106.9512,
552,676,dining_table,table,2.0,table,table/dining_table/__SYM_ROTATE_UP_2,n03201208,dining_table.n.01,,,-75.0/0.0/-49.9996,75.0/75.0/49.9996,150.0/75.0/99.9992,
553,677,office_chair,chair,2.0,chair,chair/office_chair/__SYM_REFLECT_LR,n04373704,swivel_chair.n.01,,,-29.9741/0.005973816/-29.3819,29.9741/87.7938/28.4184,59.9482/87.78783/57.8003,
554,678,fruit_bowl,kitchenware,2.0,otherprop,kitchenware/fruit_bowl/food/__SYM_ROTATE_UP_INF,n02880940,bowl.n.03,,,-14.9929/0.0/-14.9929,14.9929/20.4182/14.9929,29.9858/20.4182/29.9858,
555,679,picture_frame,picture_frame,2.0,picture,picture_frame/__SYM_REFLECT_LR_APPROX,n03931765,picture_frame.n.01,,,-9.9876995/0.014097214/-1.48895,9.9876995/19.985899/1.51105,19.975399/19.971802/3.0,
556,680,picture_frame,picture_frame,2.0,picture,picture_frame/__SYM_REFLECT_LR_APPROX,n03931765,picture_frame.n.01,,,-50.0/0.0026626587/-1.4963801,50.0/99.9973/1.5065,100.0/99.99464/3.00288,
